31,5,31,14,Boolean,0.9916,Void,0.0068,Number,0.0009,Promise,0.0002,String,0.0001
40,5,40,18,Number,0.8338,Boolean,0.1493,String,0.0152,Array,0.0004,Void,0.0003
41,5,41,14,String,0.9376,Number,0.0602,Function,0.0016,Boolean,0.0004,Array,0.0002
43,5,43,12,Object,0.3542,Array,0.3259,Function,0.1551,String,0.0453,Promise,0.0189
44,5,44,12,Function,0.9933,Object,0.0057,String,0.0008,Array,0.0002,Promise,0.0000
45,5,45,9,Function,0.9105,Object,0.0886,Array,0.0006,String,0.0002,Promise,0.0000
47,10,47,18,Boolean,0.9678,Number,0.0286,String,0.0019,Void,0.0005,Array,0.0004
47,19,47,24,String,0.5578,Number,0.4044,Boolean,0.0164,Array,0.0088,Function,0.0082
53,5,53,25,String,0.9990,Number,0.0009,Function,0.0001,Array,0.0000,Boolean,0.0000
55,10,55,28,Void,0.9393,Promise,0.0224,Boolean,0.0170,Object,0.0099,String,0.0023
55,29,55,34,Error,0.3857,HTMLElement,0.1656,Element,0.0794,Object,0.0708,Map,0.0554
55,36,55,43,Promise,0.2503,Object,0.2230,Map,0.1640,HTMLElement,0.1012,RegExp,0.0775
65,13,65,19,Array,0.9973,Promise,0.0009,String,0.0008,Map,0.0003,Function,0.0003
66,18,66,19,Object,0.9315,Map,0.0081,Function,0.0074,HTMLElement,0.0049,HTMLDivElement,0.0037
73,13,73,27,String,0.9945,Number,0.0036,Array,0.0016,Function,0.0002,Boolean,0.0001
78,10,78,27,String,0.9720,Number,0.0137,Array,0.0115,Function,0.0012,Boolean,0.0011
78,28,78,39,String,0.9991,Number,0.0007,Array,0.0001,Function,0.0000,Boolean,0.0000
82,9,82,14,Array,0.9832,String,0.0083,Promise,0.0035,Object,0.0020,Function,0.0014
83,9,83,21,Array,0.9979,String,0.0008,Promise,0.0005,Function,0.0002,Map,0.0002
84,14,84,15,Number,0.9974,Boolean,0.0017,String,0.0008,Array,0.0000,Promise,0.0000
85,13,85,17,String,0.4189,Function,0.2258,Number,0.0748,Array,0.0420,Object,0.0400
94,10,94,21,Boolean,0.8746,Number,0.0416,String,0.0381,Void,0.0156,Array,0.0074
94,22,94,31,String,0.9944,Array,0.0038,Number,0.0017,Function,0.0001,Boolean,0.0000
99,10,99,34,Array,0.9910,Promise,0.0034,Function,0.0013,Map,0.0011,Object,0.0011
99,35,99,44,String,0.4883,Number,0.3666,Array,0.0678,Boolean,0.0442,Function,0.0198
102,9,102,17,Promise,0.8224,Object,0.1137,Map,0.0333,Array,0.0080,RegExp,0.0078
108,9,108,17,Promise,0.8224,Object,0.1137,Map,0.0333,Array,0.0080,RegExp,0.0078
114,9,114,17,Promise,0.8224,Object,0.1137,Map,0.0333,Array,0.0080,RegExp,0.0078
120,10,120,25,Boolean,0.6650,Void,0.1125,Number,0.0903,Promise,0.0799,Array,0.0242
120,26,120,35,Number,0.3308,String,0.2860,Array,0.1454,Boolean,0.1253,Function,0.0691
121,9,121,30,Function,0.5284,String,0.4645,Number,0.0027,Object,0.0026,Array,0.0012
127,9,127,17,String,0.9992,Number,0.0005,Function,0.0003,Array,0.0000,Boolean,0.0000
128,9,128,19,Number,0.9886,Boolean,0.0063,String,0.0048,Array,0.0001,Function,0.0000
137,10,137,21,Void,0.9817,Boolean,0.0070,Promise,0.0033,Object,0.0026,String,0.0010
157,10,157,19,Function,0.9735,String,0.0183,Object,0.0048,Number,0.0011,Array,0.0007
157,20,157,28,Function,0.8441,Object,0.1054,Array,0.0205,String,0.0157,Number,0.0020
157,30,157,34,String,0.9918,Number,0.0077,Function,0.0004,Boolean,0.0000,Array,0.0000
